ID,Procedure,Description,MapLayers,UnitID
TOT_NWALT82_24,TO BE DETERMINED,"Recreation - Recreational areas, golf courses, cemeteries, and parks. Includes spectator recreation venues where identifiable: Sports arenas, racetracks, amusement parks, zoos, and so on.",TO BE DETERMINED,percent
TOT_NWALT82_23,TO BE DETERMINED,"Industrial/Military - Industrial and military. Includes heavy and light industry, seaports/ harbors, manufacturing, mills/factories, utilities, waste/recycling/ landfills, energy production, warehousing/distribution, water- management features, major communication facilities, and military bases.",TO BE DETERMINED,percent
TOT_NWALT82_22,TO BE DETERMINED,"Commercial/Services - Commercial and services. Includes retail stores, shopping centers, office buildings, commercial zones, professional services and organizations, universities, schools, hospitals, churches, prisons, police and fire stations, and so on. May include areas of extensive commercial use where identifiable, such as nurseries or vehicle yards.",TO BE DETERMINED,percent
TOT_NWALT82_21,TO BE DETERMINED,"Major Transportation - Major roads, rail, and airports, along with their associated facilities. Major roads are those equivalent to Department of Transportation function classes 1-3. At the spatial resolution of this dataset, road pixels usually incorporate some adjacent development, and in urban areas, they typically include commercial uses. Minor roads are considered an integral part of other land uses; for example, res- idential neighborhood roads are a part of the Residential classes.",TO BE DETERMINED,percent
TOT_NWALT82_12,TO BE DETERMINED,"Wetlands - Core wetlands class that does not change between years and is based on agreement of wetlands from three sources/periods: The NLCD 1992, NLCD 2001, and NLCD 2011.",TO BE DETERMINED,percent
TOT_NWALT82_11,TO BE DETERMINED,"Water - Streams, rivers, lakes, ponds, bays, and estuaries.",TO BE DETERMINED,percent
TOT_NWALT74_60,TO BE DETERMINED,"Very Low Use, Conservation - Areas in GAP status 1 in Protected Areas Database Conservation Biology Institute Edition V2 (for example, National Wild- life Refuges, National Parks, Wilderness Areas, and National Preserves). Does not include lands in the USDA Conservation Reserve Program. Very low human usage.",TO BE DETERMINED,percent
TOT_NWALT74_50,TO BE DETERMINED,"Low Use - No obvious indication of anthropogenic influence, and not in active GAP status 1 conservation (class 60). May have a lower protection status (GAP class 2-3).",TO BE DETERMINED,percent
TOT_NWALT74_45,TO BE DETERMINED,"Grazing Potential - Areas of good grazing potential beyond what is indicated by the NLCD. Information suggests the land could and has been used at least on a seasonal or occasional basis for animal grazing, including woodland pasture. Based on physical parameters and agreement from other land cover datasets:  Pixel is within 1 km of water body or within 500 m of a streamline; slope <30 percent; was in a pasture/hay class in both the NLCDe 1992 and the Crop Data Layer 2009; hden <124; is not on a military base, protected national park, or similar unlikely grazing area; and would other- wise be in class 50.",TO BE DETERMINED,percent
TOT_NWALT74_44,TO BE DETERMINED,"Pasture/Hay - Areas of grasses, legumes, or grass-legume mixtures planted for live- stock grazing or the production of seed or hay crops, typically on a perennial cycle. Identical definition to NLCD 2011 class 81.",TO BE DETERMINED,percent
TOT_NWALT74_43,TO BE DETERMINED,"Crops - Areas used for the production of crops, such as corn, soybeans, wheat, vegetables, or  cotton, as well as perennial woody crops such as orchards and vineyards. Includes cultivated crops, row crops, small grains, and fallow fields. Identical definition to NLCD 2011 class 82.",TO BE DETERMINED,percent
TOT_NWALT74_41,TO BE DETERMINED,"Mining/Extraction - Barren areas due to probable surface mining/mineral extraction. Includes mining, quarries, sand and gravel operations, and energy operations.",TO BE DETERMINED,percent
TOT_NWALT74_33,TO BE DETERMINED,"Anthropogenic Other - Miscellaneous non-residential urban uses not captured by the NLCD as Developed and likely to have a persistent presence throughout every year of this dataset (see text). Primarily barren or low-vegetation areas associated with industrial, transportation, or recreation uses (for example, landfills or beaches). Probable low-medium anthropogenic influence related to non-residential activities.",TO BE DETERMINED,percent
TOT_NWALT74_32,TO BE DETERMINED,"Urban Interface Low Medium - Land not in a Developed or Production land use, but in a near-urban (suburban, ex-urban) area (hden 16-500 units/km2). Probable low- medium anthropogenic influence.",TO BE DETERMINED,percent
TOT_NWALT74_31,TO BE DETERMINED,"Urban Interface High - Land not in a Developed or Production land use, but in an urban area (hden >500 or in or near an urban core area). Probable medium- high anthropogenic influence.",TO BE DETERMINED,percent
TOT_NWALT74_27,TO BE DETERMINED,"Developed, Other - Low-density developed areas (hden <16) and not classifiable in any other class. Primarily low-density residential, rural roads, or vacant land.",TO BE DETERMINED,percent
TOT_NWALT74_26,TO BE DETERMINED,"Residential, Low-Medium Density - Primarily residential development, with hden 16-500 units/km2.",TO BE DETERMINED,percent
TOT_NWALT74_25,TO BE DETERMINED,"Residential, High Density - Recreational areas, golf courses, cemeteries, and parks. Includes spectator recreation venues where identifiable: Sports arenas, racetracks, amusement parks, zoos, and so on.",TO BE DETERMINED,percent
TOT_NWALT74_24,TO BE DETERMINED,"Recreation - Recreational areas, golf courses, cemeteries, and parks. Includes spectator recreation venues where identifiable: Sports arenas, racetracks, amusement parks, zoos, and so on.",TO BE DETERMINED,percent
TOT_NWALT74_23,TO BE DETERMINED,"Industrial/Military - Industrial and military. Includes heavy and light industry, seaports/ harbors, manufacturing, mills/factories, utilities, waste/recycling/ landfills, energy production, warehousing/distribution, water- management features, major communication facilities, and military bases.",TO BE DETERMINED,percent
TOT_NWALT74_22,TO BE DETERMINED,"Commercial/Services - Commercial and services. Includes retail stores, shopping centers, office buildings, commercial zones, professional services and organizations, universities, schools, hospitals, churches, prisons, police and fire stations, and so on. May include areas of extensive commercial use where identifiable, such as nurseries or vehicle yards.",TO BE DETERMINED,percent
TOT_NWALT74_21,TO BE DETERMINED,"Major Transportation - Major roads, rail, and airports, along with their associated facilities. Major roads are those equivalent to Department of Transportation function classes 1-3. At the spatial resolution of this dataset, road pixels usually incorporate some adjacent development, and in urban areas, they typically include commercial uses. Minor roads are considered an integral part of other land uses; for example, res- idential neighborhood roads are a part of the Residential classes.",TO BE DETERMINED,percent
TOT_NWALT74_12,TO BE DETERMINED,"Wetlands - Core wetlands class that does not change between years and is based on agreement of wetlands from three sources/periods: The NLCD 1992, NLCD 2001, and NLCD 2011.",TO BE DETERMINED,percent
TOT_NWALT74_11,TO BE DETERMINED,"Water - Streams, rivers, lakes, ponds, bays, and estuaries.",TO BE DETERMINED,percent
TOT_NWALT12_60,TO BE DETERMINED,"Very Low Use, Conservation - Areas in GAP status 1 in Protected Areas Database Conservation Biology Institute Edition V2 (for example, National Wild- life Refuges, National Parks, Wilderness Areas, and National Preserves). Does not include lands in the USDA Conservation Reserve Program. Very low human usage.",TO BE DETERMINED,percent
TOT_NWALT12_50,TO BE DETERMINED,"Low Use - No obvious indication of anthropogenic influence, and not in active GAP status 1 conservation (class 60). May have a lower protection status (GAP class 2-3).",TO BE DETERMINED,percent
TOT_NWALT12_45,TO BE DETERMINED,"Grazing Potential - Areas of good grazing potential beyond what is indicated by the NLCD. Information suggests the land could and has been used at least on a seasonal or occasional basis for animal grazing, including woodland pasture. Based on physical parameters and agreement from other land cover datasets:  Pixel is within 1 km of water body or within 500 m of a streamline; slope <30 percent; was in a pasture/hay class in both the NLCDe 1992 and the Crop Data Layer 2009; hden <124; is not on a military base, protected national park, or similar unlikely grazing area; and would other- wise be in class 50.",TO BE DETERMINED,percent
TOT_NWALT12_44,TO BE DETERMINED,"Pasture/Hay - Areas of grasses, legumes, or grass-legume mixtures planted for live- stock grazing or the production of seed or hay crops, typically on a perennial cycle. Identical definition to NLCD 2011 class 81.",TO BE DETERMINED,percent
TOT_NWALT12_43,TO BE DETERMINED,"Crops - Areas used for the production of crops, such as corn, soybeans, wheat, vegetables, or  cotton, as well as perennial woody crops such as orchards and vineyards. Includes cultivated crops, row crops, small grains, and fallow fields. Identical definition to NLCD 2011 class 82.",TO BE DETERMINED,percent
TOT_NWALT12_41,TO BE DETERMINED,"Mining/Extraction - Barren areas due to probable surface mining/mineral extraction. Includes mining, quarries, sand and gravel operations, and energy operations.",TO BE DETERMINED,percent
TOT_NWALT12_33,TO BE DETERMINED,"Anthropogenic Other - Miscellaneous non-residential urban uses not captured by the NLCD as Developed and likely to have a persistent presence throughout every year of this dataset (see text). Primarily barren or low-vegetation areas associated with industrial, transportation, or recreation uses (for example, landfills or beaches). Probable low-medium anthropogenic influence related to non-residential activities.",TO BE DETERMINED,percent
TOT_NWALT12_32,TO BE DETERMINED,"Urban Interface Low Medium - Land not in a Developed or Production land use, but in a near-urban (suburban, ex-urban) area (hden 16-500 units/km2). Probable low- medium anthropogenic influence.",TO BE DETERMINED,percent
TOT_NWALT12_31,TO BE DETERMINED,"Urban Interface High - Land not in a Developed or Production land use, but in an urban area (hden >500 or in or near an urban core area). Probable medium- high anthropogenic influence.",TO BE DETERMINED,percent
TOT_NWALT12_27,TO BE DETERMINED,"Developed, Other - Low-density developed areas (hden <16) and not classifiable in any other class. Primarily low-density residential, rural roads, or vacant land.",TO BE DETERMINED,percent
TOT_NWALT12_26,TO BE DETERMINED,"Residential, Low-Medium Density - Primarily residential development, with hden 16-500 units/km2.",TO BE DETERMINED,percent
TOT_NWALT12_25,TO BE DETERMINED,"Residential, High Density - Recreational areas, golf courses, cemeteries, and parks. Includes spectator recreation venues where identifiable: Sports arenas, racetracks, amusement parks, zoos, and so on.",TO BE DETERMINED,percent
TOT_NWALT12_24,TO BE DETERMINED,"Recreation - Recreational areas, golf courses, cemeteries, and parks. Includes spectator recreation venues where identifiable: Sports arenas, racetracks, amusement parks, zoos, and so on.",TO BE DETERMINED,percent
TOT_NWALT12_23,TO BE DETERMINED,"Industrial/Military - Industrial and military. Includes heavy and light industry, seaports/ harbors, manufacturing, mills/factories, utilities, waste/recycling/ landfills, energy production, warehousing/distribution, water- management features, major communication facilities, and military bases.",TO BE DETERMINED,percent
TOT_NWALT12_22,TO BE DETERMINED,"Commercial/Services - Commercial and services. Includes retail stores, shopping centers, office buildings, commercial zones, professional services and organizations, universities, schools, hospitals, churches, prisons, police and fire stations, and so on. May include areas of extensive commercial use where identifiable, such as nurseries or vehicle yards.",TO BE DETERMINED,percent
TOT_NWALT12_21,TO BE DETERMINED,"Major Transportation - Major roads, rail, and airports, along with their associated facilities. Major roads are those equivalent to Department of Transportation function classes 1-3. At the spatial resolution of this dataset, road pixels usually incorporate some adjacent development, and in urban areas, they typically include commercial uses. Minor roads are considered an integral part of other land uses; for example, res- idential neighborhood roads are a part of the Residential classes.",TO BE DETERMINED,percent
TOT_NWALT12_12,TO BE DETERMINED,"Wetlands - Core wetlands class that does not change between years and is based on agreement of wetlands from three sources/periods: The NLCD 1992, NLCD 2001, and NLCD 2011.",TO BE DETERMINED,percent
TOT_NWALT12_11,TO BE DETERMINED,"Water - Streams, rivers, lakes, ponds, bays, and estuaries.",TO BE DETERMINED,percent
TOT_NWALT02_60,TO BE DETERMINED,"Very Low Use, Conservation - Areas in GAP status 1 in Protected Areas Database Conservation Biology Institute Edition V2 (for example, National Wild- life Refuges, National Parks, Wilderness Areas, and National Preserves). Does not include lands in the USDA Conservation Reserve Program. Very low human usage.",TO BE DETERMINED,percent
TOT_NWALT02_50,TO BE DETERMINED,"Low Use - No obvious indication of anthropogenic influence, and not in active GAP status 1 conservation (class 60). May have a lower protection status (GAP class 2-3).",TO BE DETERMINED,percent
TOT_NWALT02_45,TO BE DETERMINED,"Grazing Potential - Areas of good grazing potential beyond what is indicated by the NLCD. Information suggests the land could and has been used at least on a seasonal or occasional basis for animal grazing, including woodland pasture. Based on physical parameters and agreement from other land cover datasets:  Pixel is within 1 km of water body or within 500 m of a streamline; slope <30 percent; was in a pasture/hay class in both the NLCDe 1992 and the Crop Data Layer 2009; hden <124; is not on a military base, protected national park, or similar unlikely grazing area; and would other- wise be in class 50.",TO BE DETERMINED,percent
TOT_NWALT02_44,TO BE DETERMINED,"Pasture/Hay - Areas of grasses, legumes, or grass-legume mixtures planted for live- stock grazing or the production of seed or hay crops, typically on a perennial cycle. Identical definition to NLCD 2011 class 81.",TO BE DETERMINED,percent
TOT_NWALT02_43,TO BE DETERMINED,"Crops - Areas used for the production of crops, such as corn, soybeans, wheat, vegetables, or  cotton, as well as perennial woody crops such as orchards and vineyards. Includes cultivated crops, row crops, small grains, and fallow fields. Identical definition to NLCD 2011 class 82.",TO BE DETERMINED,percent
TOT_NWALT02_41,TO BE DETERMINED,"Mining/Extraction - Barren areas due to probable surface mining/mineral extraction. Includes mining, quarries, sand and gravel operations, and energy operations.",TO BE DETERMINED,percent
TOT_NWALT02_33,TO BE DETERMINED,"Anthropogenic Other - Miscellaneous non-residential urban uses not captured by the NLCD as Developed and likely to have a persistent presence throughout every year of this dataset (see text). Primarily barren or low-vegetation areas associated with industrial, transportation, or recreation uses (for example, landfills or beaches). Probable low-medium anthropogenic influence related to non-residential activities.",TO BE DETERMINED,percent
TOT_NWALT02_32,TO BE DETERMINED,"Urban Interface Low Medium - Land not in a Developed or Production land use, but in a near-urban (suburban, ex-urban) area (hden 16-500 units/km2). Probable low- medium anthropogenic influence.",TO BE DETERMINED,percent
TOT_NWALT02_31,TO BE DETERMINED,"Urban Interface High - Land not in a Developed or Production land use, but in an urban area (hden >500 or in or near an urban core area). Probable medium- high anthropogenic influence.",TO BE DETERMINED,percent
TOT_NWALT02_27,TO BE DETERMINED,"Developed, Other - Low-density developed areas (hden <16) and not classifiable in any other class. Primarily low-density residential, rural roads, or vacant land.",TO BE DETERMINED,percent
TOT_NWALT02_26,TO BE DETERMINED,"Residential, Low-Medium Density - Primarily residential development, with hden 16-500 units/km2.",TO BE DETERMINED,percent
TOT_NWALT02_25,TO BE DETERMINED,"Residential, High Density - Recreational areas, golf courses, cemeteries, and parks. Includes spectator recreation venues where identifiable: Sports arenas, racetracks, amusement parks, zoos, and so on.",TO BE DETERMINED,percent
TOT_NWALT02_24,TO BE DETERMINED,"Recreation  - Recreational areas, golf courses, cemeteries, and parks. Includes spectator recreation venues where identifiable: Sports arenas, racetracks, amusement parks, zoos, and so on.",TO BE DETERMINED,percent
TOT_NWALT02_23,TO BE DETERMINED,"Industrial/Military - Industrial and military. Includes heavy and light industry, seaports/ harbors, manufacturing, mills/factories, utilities, waste/recycling/ landfills, energy production, warehousing/distribution, water- management features, major communication facilities, and military bases.",TO BE DETERMINED,percent
TOT_NWALT02_22,TO BE DETERMINED,"Commercial/Services - Commercial and services. Includes retail stores, shopping centers, office buildings, commercial zones, professional services and organizations, universities, schools, hospitals, churches, prisons, police and fire stations, and so on. May include areas of extensive commercial use where identifiable, such as nurseries or vehicle yards.",TO BE DETERMINED,percent
TOT_NWALT02_21,TO BE DETERMINED,"Major Transportation - Major roads, rail, and airports, along with their associated facilities. Major roads are those equivalent to Department of Transportation function classes 1-3. At the spatial resolution of this dataset, road pixels usually incorporate some adjacent development, and in urban areas, they typically include commercial uses. Minor roads are considered an integral part of other land uses; for example, res- idential neighborhood roads are a part of the Residential classes.",TO BE DETERMINED,percent
TOT_NWALT02_12,TO BE DETERMINED,"Wetlands - Core wetlands class that does not change between years and is based on agreement of wetlands from three sources/periods: The NLCD 1992, NLCD 2001, and NLCD 2011.",TO BE DETERMINED,percent
TOT_NWALT02_11,TO BE DETERMINED,"Water - Streams, rivers, lakes, ponds, bays, and estuaries.",TO BE DETERMINED,percent
TOT_NPDES_MAJ_DENS,TO BE DETERMINED,NA,TO BE DETERMINED,NA
TOT_NORM_STORAGE_2013,TO BE DETERMINED,"The normal dam storage defined as the total storage space in a reservoir below the normal retention level, including dead and inactive storage and excluding any flood control or surcharge storage ",TO BE DETERMINED,acre feet
TOT_NORM_STORAGE_2010,TO BE DETERMINED,"The normal dam storage defined as the total storage space in a reservoir below the normal retention level, including dead and inactive storage and excluding any flood control or surcharge storage ",TO BE DETERMINED,acre feet
TOT_NORM_STORAGE_2000,TO BE DETERMINED,"The normal dam storage defined as the total storage space in a reservoir below the normal retention level, including dead and inactive storage and excluding any flood control or surcharge storage ",TO BE DETERMINED,acre feet
TOT_NORM_STORAGE_1990,TO BE DETERMINED,"The normal dam storage defined as the total storage space in a reservoir below the normal retention level, including dead and inactive storage and excluding any flood control or surcharge storage ",TO BE DETERMINED,acre feet
TOT_NORM_STORAGE_1980,TO BE DETERMINED,"The normal dam storage defined as the total storage space in a reservoir below the normal retention level, including dead and inactive storage and excluding any flood control or surcharge storage ",TO BE DETERMINED,acre feet
TOT_NORM_STORAGE_1970,TO BE DETERMINED,"The normal dam storage defined as the total storage space in a reservoir below the normal retention level, including dead and inactive storage and excluding any flood control or surcharge storage ",TO BE DETERMINED,acre feet
TOT_NORM_STORAGE_1960,TO BE DETERMINED,"The normal dam storage defined as the total storage space in a reservoir below the normal retention level, including dead and inactive storage and excluding any flood control or surcharge storage ",TO BE DETERMINED,acre feet
TOT_NORM_STORAGE_1950,TO BE DETERMINED,"The normal dam storage defined as the total storage space in a reservoir below the normal retention level, including dead and inactive storage and excluding any flood control or surcharge storage ",TO BE DETERMINED,acre feet
TOT_NORM_STORAGE_1940,TO BE DETERMINED,"The normal dam storage defined as the total storage space in a reservoir below the normal retention level, including dead and inactive storage and excluding any flood control or surcharge storage ",TO BE DETERMINED,acre feet
TOT_NORM_STORAGE_1930,TO BE DETERMINED,"The normal dam storage defined as the total storage space in a reservoir below the normal retention level, including dead and inactive storage and excluding any flood control or surcharge storage ",TO BE DETERMINED,acre feet
TOT_NONE,TO BE DETERMINED,NA,TO BE DETERMINED,NA
TOT_NO4AVE,TO BE DETERMINED,Average value of percent by weight of soil material less than 3 inches in size and passing a No. 4 sieve (5 mm),TO BE DETERMINED,percent
TOT_NO200AVE,TO BE DETERMINED,Average value of percent by weight of soil material less than 3 inches in size and passing a No. 200 sieve (.074 mm),TO BE DETERMINED,percent
TOT_NO10AVE,TO BE DETERMINED,Average value of percent by weight of soil material less than 3 inches in size and passing a No. 10 sieve (2 mm),TO BE DETERMINED,percent
TOT_NLCD11_95_RIP50,TO BE DETERMINED,Emergent Herbaceous Wetlands - areas where perennial herbaceous vegetation accounts for greater than 80% of vegetative cover and the soil or substrate is periodically saturated with or covered with water.,TO BE DETERMINED,percent
TOT_NLCD11_95,TO BE DETERMINED,Emergent Herbaceous Wetlands - areas where perennial herbaceous vegetation accounts for greater than 80% of vegetative cover and the soil or substrate is periodically saturated with or covered with water.,TO BE DETERMINED,percent
TOT_NLCD11_90_RIP50,TO BE DETERMINED,Woody Wetlands - areas where forest or shrubland vegetation accounts for greater than 20% of vegetative cover and the soil or substrate is periodically saturated with or covered with water.,TO BE DETERMINED,percent
TOT_NLCD11_90,TO BE DETERMINED,Woody Wetlands - areas where forest or shrubland vegetation accounts for greater than 20% of vegetative cover and the soil or substrate is periodically saturated with or covered with water.,TO BE DETERMINED,percent
TOT_NLCD11_82_RIP50,TO BE DETERMINED,"Cultivated Crops - areas used for the production of annual crops, such as corn, soybeans, vegetables, tobacco, and cotton, and also perennial woody crops such as orchards and vineyards. Crop vegetation accounts for greater than 20% of total vegetation. This class also includes all land being actively tilled.",TO BE DETERMINED,percent
TOT_NLCD11_82,TO BE DETERMINED,"Cultivated Crops - areas used for the production of annual crops, such as corn, soybeans, vegetables, tobacco, and cotton, and also perennial woody crops such as orchards and vineyards. Crop vegetation accounts for greater than 20% of total vegetation. This class also includes all land being actively tilled.",TO BE DETERMINED,percent
TOT_NLCD11_81_RIP50,TO BE DETERMINED,"Pasture/Hay - areas of grasses, legumes, or grass-legume mixtures planted for livestock grazing or the production of seed or hay crops, typically on a perennial cycle. Pasture/hay vegetation accounts for greater than 20% of total vegetation.",TO BE DETERMINED,percent
TOT_NLCD11_81,TO BE DETERMINED,"Pasture/Hay - areas of grasses, legumes, or grass-legume mixtures planted for livestock grazing or the production of seed or hay crops, typically on a perennial cycle. Pasture/hay vegetation accounts for greater than 20% of total vegetation.",TO BE DETERMINED,percent
TOT_NLCD11_71_RIP50,TO BE DETERMINED,"Grassland/Herbaceous - areas dominated by gramanoid or herbaceous vegetation, generally greater than 80% of total vegetation. These areas are not subject to intensive management such as tilling, but can be utilized for grazing",TO BE DETERMINED,percent
TOT_NLCD11_71,TO BE DETERMINED,"Grassland/Herbaceous - areas dominated by gramanoid or herbaceous vegetation, generally greater than 80% of total vegetation. These areas are not subject to intensive management such as tilling, but can be utilized for grazing",TO BE DETERMINED,percent
TOT_NLCD11_52_RIP50,TO BE DETERMINED,"Shrub/Scrub - areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation. This class includes true shrubs, young trees in an early successional stage or trees stunted from environmental conditions.",TO BE DETERMINED,percent
TOT_NLCD11_52,TO BE DETERMINED,"Shrub/Scrub - areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation. This class includes true shrubs, young trees in an early successional stage or trees stunted from environmental conditions.",TO BE DETERMINED,percent
TOT_NLCD11_43_RIP50,TO BE DETERMINED,"Mixed Forest - areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. Neither deciduous nor evergreen species are greater than 75% of total tree cover.",TO BE DETERMINED,percent
TOT_NLCD11_43,TO BE DETERMINED,"Mixed Forest - areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. Neither deciduous nor evergreen species are greater than 75% of total tree cover.",TO BE DETERMINED,percent
TOT_NLCD11_42_RIP50,TO BE DETERMINED,"Evergreen Forest - areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. More than 75% of the tree species maintain their leaves all year. Canopy is never without green foliage.",TO BE DETERMINED,percent
TOT_NLCD11_42,TO BE DETERMINED,"Evergreen Forest - areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. More than 75% of the tree species maintain their leaves all year. Canopy is never without green foliage.",TO BE DETERMINED,percent
TOT_NLCD11_41_RIP50,TO BE DETERMINED,"Deciduous Forest - areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. More than 75% of the tree species shed foliage simultaneously in response to seasonal change.",TO BE DETERMINED,percent
TOT_NLCD11_41,TO BE DETERMINED,"Deciduous Forest - areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. More than 75% of the tree species shed foliage simultaneously in response to seasonal change.",TO BE DETERMINED,percent
TOT_NLCD11_31_RIP50,TO BE DETERMINED,"Barren Land (Rock/Sand/Clay) - areas of bedrock, desert pavement, scarps, talus, slides, volcanic material, glacial debris, sand dunes, strip mines, gravel pits and other accumulations of earthen material. Generally, vegetation accounts for less than 15% of total cover.",TO BE DETERMINED,percent
TOT_NLCD11_31,TO BE DETERMINED,"Barren Land (Rock/Sand/Clay) - areas of bedrock, desert pavement, scarps, talus, slides, volcanic material, glacial debris, sand dunes, strip mines, gravel pits and other accumulations of earthen material. Generally, vegetation accounts for less than 15% of total cover.",TO BE DETERMINED,percent
TOT_NLCD11_24_RIP50,TO BE DETERMINED,"Developed High Intensity - highly developed areas where people reside or work in high numbers. Examples include apartment complexes, row houses and commercial/industrial. Impervious surfaces account for 80% to 100% of the total cover.",TO BE DETERMINED,percent
TOT_NLCD11_24,TO BE DETERMINED,"Developed High Intensity - highly developed areas where people reside or work in high numbers. Examples include apartment complexes, row houses and commercial/industrial. Impervious surfaces account for 80% to 100% of the total cover.",TO BE DETERMINED,percent
TOT_NLCD11_23_RIP50,TO BE DETERMINED,"Developed, Medium Intensity - areas with a mixture of constructed materials and vegetation. Impervious surfaces account for 50% to 79% of the total cover. These areas most commonly include single-family housing units.",TO BE DETERMINED,percent
TOT_NLCD11_23,TO BE DETERMINED,"Developed, Medium Intensity - areas with a mixture of constructed materials and vegetation. Impervious surfaces account for 50% to 79% of the total cover. These areas most commonly include single-family housing units.",TO BE DETERMINED,percent
TOT_NLCD11_22_RIP50,TO BE DETERMINED,"Developed, Low Intensity - areas with a mixture of constructed materials and vegetation. Impervious surfaces account for 20% to 49% percent of total cover. These areas most commonly include single-family housing units.",TO BE DETERMINED,percent
TOT_NLCD11_22,TO BE DETERMINED,"Developed, Low Intensity - areas with a mixture of constructed materials and vegetation. Impervious surfaces account for 20% to 49% percent of total cover. These areas most commonly include single-family housing units.",TO BE DETERMINED,percent
TOT_NLCD11_21_RIP50,TO BE DETERMINED,"Developed, Open Space - areas with a mixture of some constructed materials, but mostly vegetation in the form of lawn grasses. Impervious surfaces account for less than 20% of total cover. These areas most commonly include large-lot single-family housing units, parks, golf courses, and vegetation planted in developed settings for recreation, erosion control, or aesthetic purposes.",TO BE DETERMINED,percent
TOT_NLCD11_21,TO BE DETERMINED,"Developed, Open Space - areas with a mixture of some constructed materials, but mostly vegetation in the form of lawn grasses. Impervious surfaces account for less than 20% of total cover. These areas most commonly include large-lot single-family housing units, parks, golf courses, and vegetation planted in developed settings for recreation, erosion control, or aesthetic purposes.",TO BE DETERMINED,percent
TOT_NLCD11_12_RIP50,TO BE DETERMINED,"Perennial Ice/Snow - areas characterized by a perennial cover of ice and/or snow, generally greater than 25% of total cover.",TO BE DETERMINED,percent
TOT_NLCD11_12,TO BE DETERMINED,"Perennial Ice/Snow - areas characterized by a perennial cover of ice and/or snow, generally greater than 25% of total cover.",TO BE DETERMINED,percent
TOT_NLCD11_11_RIP50,TO BE DETERMINED,"Open Water - areas of open water, generally with less than 25% cover of vegetation or soil.",TO BE DETERMINED,percent
TOT_NLCD11_11,TO BE DETERMINED,"Open Water - areas of open water, generally with less than 25% cover of vegetation or soil.",TO BE DETERMINED,percent
TOT_NLCD06_95,TO BE DETERMINED,Emergent Herbaceous Wetlands - areas where perennial herbaceous vegetation accounts for greater than 80% of vegetative cover and the soil or substrate is periodically saturated with or covered with water.,TO BE DETERMINED,percent
TOT_NLCD06_90,TO BE DETERMINED,Woody Wetlands - areas where forest or shrubland vegetation accounts for greater than 20% of vegetative cover and the soil or substrate is periodically saturated with or covered with water.,TO BE DETERMINED,percent
TOT_NLCD06_82,TO BE DETERMINED,"Cultivated Crops - areas used for the production of annual crops, such as corn, soybeans, vegetables, tobacco, and cotton, and also perennial woody crops such as orchards and vineyards. Crop vegetation accounts for greater than 20% of total vegetation. This class also includes all land being actively tilled.",TO BE DETERMINED,percent
TOT_NLCD06_81,TO BE DETERMINED,"Pasture/Hay - areas of grasses, legumes, or grass-legume mixtures planted for livestock grazing or the production of seed or hay crops, typically on a perennial cycle. Pasture/hay vegetation accounts for greater than 20% of total vegetation.",TO BE DETERMINED,percent
TOT_NLCD06_71,TO BE DETERMINED,"Grassland/Herbaceous - areas dominated by gramanoid or herbaceous vegetation, generally greater than 80% of total vegetation. These areas are not subject to intensive management such as tilling, but can be utilized for grazing",TO BE DETERMINED,percent
TOT_NLCD06_52,TO BE DETERMINED,"Shrub/Scrub - areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation. This class includes true shrubs, young trees in an early successional stage or trees stunted from environmental conditions.",TO BE DETERMINED,percent
TOT_NLCD06_43,TO BE DETERMINED,"Mixed Forest - areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. Neither deciduous nor evergreen species are greater than 75% of total tree cover.",TO BE DETERMINED,percent
TOT_NLCD06_42,TO BE DETERMINED,"Evergreen Forest - areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. More than 75% of the tree species maintain their leaves all year. Canopy is never without green foliage.",TO BE DETERMINED,percent
TOT_NLCD06_41,TO BE DETERMINED,"Deciduous Forest - areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. More than 75% of the tree species shed foliage simultaneously in response to seasonal change.",TO BE DETERMINED,percent
TOT_NLCD06_31,TO BE DETERMINED,"Barren Land (Rock/Sand/Clay) - areas of bedrock, desert pavement, scarps, talus, slides, volcanic material, glacial debris, sand dunes, strip mines, gravel pits and other accumulations of earthen material. Generally, vegetation accounts for less than 15% of total cover.",TO BE DETERMINED,percent
TOT_NLCD06_24,TO BE DETERMINED,"Developed High Intensity - highly developed areas where people reside or work in high numbers. Examples include apartment complexes, row houses and commercial/industrial. Impervious surfaces account for 80% to 100% of the total cover.",TO BE DETERMINED,percent
